id,name,created_at,updated_at,street1,zip,city,state,metro_id,longitude,latitude,street2,zone_id,store_id,county,deleted_at,opening_hour,closing_hour,store_number,store_group,active,allows_pickup,is_envoy_only,service_area_id,sells_alcohol,tax_exempt
4658,Target - Albuquerque Lomas,2018-03-23 15:29:38.731432,2018-11-29 16:34:59.259567,11120 Lomas Blvd NE,87112,Albuquerque,NM,151,-106.527404,35.0849774,NULL,1660,27,Bernalillo County,NULL,8,22,357,NULL,True,False,False,NULL,False,NULL
4657,Target - Albuquerque Wyoming,2018-03-23 15:29:38.175963,2018-11-29 16:34:59.271337,8510 Montgomery Blvd NE,87111,Albuquerque,NM,151,-106.5475062,35.1297754,NULL,1656,27,Bernalillo County,NULL,8,22,356,NULL,True,False,False,NULL,False,NULL
3264,Target - Gilbert SW,2017-12-19 19:25:41.496749,2019-01-22 04:19:40.662118,3931 S Gilbert Rd,85297,Gilbert,AZ,12,-111.7895711,33.2790255,NULL,2888,27,Maricopa County,NULL,8,23,1960,NULL,True,False,False,NULL,False,NULL
10628,CVS - 9175 Kingston Pike,2019-01-14 15:32:13.709074,2019-02-05 04:00:31.622631,9175 Kingston Pike,37923,Knoxville,TN,148,-84.0861859,35.9124604,NULL,1628,60,Knox County,NULL,0,24,3762,NULL,True,False,False,NULL,False,NULL
11130,CVS - Leesville Church Rd,2019-01-14 15:55:02.305877,2019-02-05 04:00:41.040553,13304 Leesville Church Rd,27617,Raleigh,NC,31,-78.7291544,35.908916,NULL,416,60,Wake County,NULL,8,22,5313,NULL,True,False,False,NULL,False,NULL
14062,CVS - 9390 Forest Ln,2019-02-11 19:06:41.281315,2019-02-21 04:03:51.472375,9390 Forest Ln,75243,Dallas,TX,3,-96.7361272,32.9082682,NULL,254,60,Dallas County,NULL,8,22,5844,NULL,True,False,False,NULL,False,NULL
13738,CVS - N Central Ave,2019-01-29 16:18:50.362298,2019-02-28 07:00:55.056361,1525 North Central Ave,85004,Phoenix,AZ,12,-112.0734396,33.4653138,NULL,870,60,Maricopa County,NULL,7,20,9347,NULL,True,False,False,NULL,False,NULL
6101,Safeway - Falls Church,2018-06-14 15:58:27.754156,2019-03-13 02:30:31.117496,7397 Lee Hwy,22042,Falls Church,VA,122,-77.1980735,38.8756934,NULL,1477,17,Fairfax County,NULL,5,24,1304,NULL,True,False,False,NULL,False,NULL
11740,CVS - 202 Old Country Rd,2019-01-17 19:03:02.284461,2019-03-13 14:52:32.741061,202 Old Country Rd,11801,Hicksville,NY,209,-73.5291357,40.7625849,NULL,2938,60,Nassau County,NULL,0,24,1931,NULL,True,False,False,NULL,False,NULL
13434,Long's Lipoa St.,2019-01-24 14:55:28.437741,2019-01-24 14:55:28.437741,"41 E LIPOA ST., #23A",96753,KIHEI,HI,292,-156.4542602,20.7485883,NULL,2816,86,Maui County,NULL,NULL,NULL,4492,NULL,False,False,False,NULL,False,NULL
13435,Long's South Kihei Rd.,2019-01-24 14:55:28.952444,2019-01-24 14:55:28.952444,"1215 SOUTH KIHEI RD., SUITE B",96753,KIHEI,HI,292,-156.4545857,20.7508642,NULL,2816,86,Maui County,NULL,NULL,NULL,9303,NULL,False,False,False,NULL,False,NULL
13436,Long's Honoapiilani Hwy,2019-01-24 14:55:29.47589,2019-01-24 14:55:29.47589,1221 HONOAPIILANI HWY,96761,LAHAINA,HI,292,-156.6836743,20.8860824,NULL,2816,86,Maui County,NULL,NULL,NULL,9877,NULL,False,False,False,NULL,False,NULL
13437,Long's Keaau-Pahoa Road,2019-01-24 15:13:27.558057,2019-01-25 17:46:02.114403,16-529 KEAAU-PAHOA ROAD,96749,KEAAU,HI,290,-155.039488,19.6228831,NULL,2814,86,Hawaii County,2019-01-25 17:46:02.114374,NULL,NULL,6870,NULL,False,NULL,False,NULL,False,NULL
2501,Kroger - Royal Lakes,2017-06-21 18:39:52.876412,2019-03-19 23:09:06.010847,4025 Winder Hwy,30542,Flowery Branch,GA,11,-83.857981199999997556915332097560167313,34.196509499999997672148310812190175056,NULL,1106,2,Hall County,NULL,6,24,632,NULL,True,False,False,NULL,False,NULL
13422,Longs Ainamakua Dr.,2019-01-24 14:42:27.602981,2019-01-31 16:50:21.167052,95-1077 Ainamakua Dr.,96789,Mililani,HI,293,-158.0010346,21.4681936,NULL,2820,86,Honolulu County,2019-01-31 16:50:21.167028,7,22,4405,NULL,False,False,False,NULL,False,NULL
2502,Kroger - Douglasville,2017-06-21 18:40:19.931093,2019-03-19 23:09:06.010847,"3875 Chapel Hill Rd, Douglasville, GA 30135",30135,Douglasville,GA,11,-84.718799300000000584986992180347442627,33.699628799999999273495632223784923553,NULL,1101,2,Douglas County,NULL,6,24,485,NULL,True,False,False,NULL,False,NULL
13423,Longs California Ave,2019-01-24 14:42:28.096754,2019-01-31 16:50:42.289847,"302 California Ave, Suite #105",96786,Wahiawa,HI,293,-158.0312627,21.4956804,NULL,2820,86,Honolulu County,2019-01-31 16:50:42.289805,7,19,7920,NULL,False,False,False,NULL,False,NULL
2503,Kroger - Butler Creek,2017-06-21 18:40:47.510113,2019-03-19 23:09:06.010847,3330 Cobb Pkwy Nw Suite 200,30101,Acworth,GA,11,-84.677042399999990607284416910260915756,34.036240900000002795877662720158696175,NULL,1046,2,Cobb County,NULL,6,24,397,NULL,True,False,False,NULL,False,NULL
13424,Longs Keahole St.,2019-01-24 14:42:28.545902,2019-01-31 16:50:52.710166,377 Keahole St,96825,Honolulu,HI,293,-157.7074114,21.2849856,NULL,2820,86,Honolulu County,2019-01-31 16:50:52.710135,0,24,9185,NULL,False,False,False,NULL,False,NULL
13432,Longs Bishop St.,2019-01-24 14:42:32.536301,2019-01-25 15:00:37.497357,"841 Bishop St., Suite 105",96813,Honolulu,HI,293,-157.8619153,21.3073327,NULL,2820,86,Honolulu County,NULL,6,20,10295,NULL,False,False,False,NULL,False,NULL
3042,H-E-B - Pecan and Ware,2017-12-15 19:26:20.441852,2018-10-29 21:56:44.322141,3601 Pecan Blvd,78501,McAllen,TX,114,-98.2587082,26.2179844,NULL,1262,8,Hidalgo County,NULL,6,24,334,NULL,True,False,False,NULL,False,NULL
13425,Longs 925 California Ave,2019-01-24 14:42:29.09353,2019-01-31 16:51:03.612083,925 California Ave,96786,Wahiawa,HI,293,-158.0249283,21.4967496,NULL,2820,86,Honolulu County,2019-01-31 16:51:03.61206,7,22,9300,NULL,False,False,False,NULL,False,NULL
13426,Longs 46 047 Kamehameha Hwy Ste C,2019-01-24 14:42:29.523898,2019-01-31 16:51:20.88677,46 047 Kamehameha Hwy Ste C,96744,Kaneohe,HI,293,-157.8034239,21.4222554,NULL,2820,86,Honolulu County,2019-01-31 16:51:20.886737,0,24,9671,NULL,False,False,False,NULL,False,NULL
3250,Target - Goodyear,2017-12-19 19:11:01.226433,2019-01-22 04:21:41.966668,1515 N Litchfield Rd,85395,Goodyear,AZ,12,-112.3551411,33.4632516,NULL,2887,27,Maricopa County,NULL,8,22,1242,NULL,True,False,False,NULL,False,NULL
4682,Target - Tucson SE,2018-03-23 19:23:34.667571,2018-11-29 16:34:59.198162,9615 E Old Spanish Trail,85748,Tucson,AZ,141,-110.7861886,32.2075329,NULL,1809,27,Pima County,NULL,8,23,1863,NULL,True,False,False,NULL,False,NULL
4681,Target - Tucson North,2018-03-23 19:22:49.085393,2018-11-29 16:34:59.209518,4040 N Oracle Road,85705,Tucson,AZ,141,-110.9761839,32.2801901,NULL,1808,27,Pima County,NULL,8,24,2140,NULL,True,False,False,NULL,False,NULL
2504,Kroger - Hamilton Ridge,2017-06-21 18:42:43.765605,2019-03-19 23:09:06.010847,3300 Hamilton Mill Rd,30519,Buford,GA,11,-83.9379547999999999774445313960313797,34.093174500000003490640665404498577118,NULL,1100,2,Gwinnett County,NULL,6,24,494,NULL,True,False,False,NULL,False,NULL
10565,CVS Hwy 20 E,2019-01-14 15:24:03.228003,2019-02-05 04:00:30.513303,4562 Hwy 20 E,32578,Niceville,FL,42,-86.4162393,30.4842081,NULL,527,60,Okaloosa County,NULL,8,22,4612,NULL,True,False,False,NULL,False,NULL
12533,CVS - Cromwell Ave,2019-01-21 21:29:39.364063,2019-02-07 04:01:30.366363,323 Cromwell Ave,06067,Rocky Hill,CT,207,-72.6793736,41.6615275,NULL,2424,60,Hartford County,NULL,8,22,2525,NULL,True,False,False,NULL,False,NULL
10626,CVS - Broadway St,2019-01-14 15:32:12.742211,2019-02-05 04:00:31.585584,4864 Broadway St,37918,Knoxville,TN,148,-83.927451,36.0283554,NULL,1923,60,Knox County,NULL,8,21,3721,NULL,True,False,False,NULL,False,NULL
2508,Kroger - Ripplewater Village,2017-06-21 18:45:55.094504,2018-10-29 21:56:44.436234,1160 Moreland Ave Se,30316,Atlanta,GA,11,-84.34845119999999951687641441822052002,33.722425299999997605482349172234535217,NULL,1107,2,DeKalb County,NULL,6,24,4,NULL,True,False,False,NULL,False,NULL
11147,CVS - US Hwy 1,2019-01-14 15:55:11.235368,2019-02-05 04:00:41.333095,1190 Us Hwy 1,27596,Youngsville,NC,31,-78.4969682,36.0406144,NULL,454,60,Franklin County,NULL,8,21,8959,NULL,True,False,False,NULL,False,NULL
2505,Kroger - Park Plaza,2017-06-21 18:43:15.560966,2019-03-19 23:09:06.010847,3251 Highway 5,30135,Douglasville,GA,11,-84.764831899999990127980709075927734375,33.718769199999996999395079910755157471,NULL,1101,2,Douglas County,NULL,0,24,366,NULL,True,False,False,NULL,False,NULL
13421,Longs Kamehameha Hwy. #1,2019-01-24 14:42:27.062082,2019-01-31 16:50:09.679899,"66-197 Kamehameha Hwy., #1",96712,Haleiwa,HI,293,-158.1034852,21.5883777,NULL,2820,86,Honolulu County,2019-01-31 16:50:09.679852,7,22,3070,NULL,False,False,False,NULL,False,NULL
11274,CVS - N Frederick Ave,2019-01-15 20:05:08.118219,2019-03-13 02:31:59.190842,546 North Frederick Ave,20877,Gaithersburg,MD,122,-77.2097383,39.1480295,NULL,1483,60,Montgomery County,NULL,0,24,1490,NULL,True,False,False,NULL,False,NULL
14071,CVS - 5429 Ross Ave,2019-02-11 19:06:46.048988,2019-03-17 05:47:37.649119,5429 Ross Ave,75206,Dallas,TX,3,-96.7709338,32.8114385,NULL,2956,60,Dallas County,NULL,8,22,6776,NULL,True,False,False,NULL,False,NULL
2506,Kroger - Five Forks Crossing,2017-06-21 18:43:57.653012,2019-03-19 23:09:06.010847,3050 Five Forks Trickum Rd Sw,30047,Lilburn,GA,11,-84.060102499999999281499185599386692047,33.884528299999999489955371245741844177,NULL,1112,2,Gwinnett County,NULL,6,24,394,NULL,True,False,False,NULL,False,NULL
2507,Kroger - Everson Pointe,2017-06-21 18:45:35.497422,2019-03-19 23:09:06.010847,3035 Scenic Hwy S,30039,Snellville,GA,11,-84.032819299999999884676071815192699432,33.825060899999996877340890932828187943,NULL,1125,2,Gwinnett County,NULL,6,24,484,NULL,True,False,False,NULL,False,NULL
2509,Kroger - McDonough Crossing,2017-06-21 18:46:15.273593,2019-03-19 23:09:06.010847,301 Jonesboro Road,30253,Mcdonough,GA,11,-84.169593199999994226345734205096960068,33.452750300000012373402569210156798363,NULL,1114,2,Henry County,NULL,0,24,405,NULL,True,False,False,NULL,False,NULL
2510,Kroger - Mountain Crossing,2017-06-21 18:47:23.407095,2019-03-19 23:09:06.010847,2700 Braselton Hwy,30019,Dacula,GA,11,-83.929334299999993618257576599717140198,34.051358100000008732877176953479647636,NULL,1100,2,Gwinnett County,NULL,6,24,457,NULL,True,False,False,NULL,False,NULL
4751,Target - Aurora Saddle Rock,2018-03-27 14:34:55.587064,2018-11-29 16:34:59.186121,7400 S Gartrell Rd,80016,Aurora,CO,150,-104.7220796,39.5812327,NULL,1745,27,Arapahoe County,NULL,7,22,1976,NULL,True,False,False,NULL,False,NULL
6181,Safeway - Palm Valley Marketplace,2018-06-14 17:06:17.623465,2019-01-22 04:21:55.797268,14175 W Indian School Rd,85395,Goodyear,AZ,12,-112.3653967,33.4846093,NULL,2887,17,Maricopa County,NULL,5,24,1511,NULL,True,False,False,NULL,False,NULL
12527,CVS - 1055 Farmington Ave,2019-01-21 21:29:35.921825,2019-02-07 04:01:30.101966,1055 Farmington Ave,06037,Kensington,CT,207,-72.7595762,41.6310815,NULL,2424,60,Hartford County,NULL,0,24,2119,NULL,True,False,False,NULL,False,NULL
10561,CVS Ohio Ave,2019-01-14 15:24:01.085852,2019-02-05 04:00:30.306339,1317 Ohio Ave,32444,Lynn Haven,FL,42,-85.6481239,30.2380044,NULL,532,60,Bay County,NULL,8,22,3667,NULL,True,False,False,NULL,False,NULL
13800,CVS - N Zaragoza Rd,2019-01-30 19:24:45.118927,2019-02-21 04:03:48.284628,745 N Zaragoza Rd,79907,El Paso,TX,186,-106.3184671,31.7050102,NULL,2059,60,El Paso County,NULL,8,22,10073,NULL,True,False,False,NULL,False,NULL
